Date,Product,Region,Sales,Profit,Quantity
2024-01-01,Atorvastatin,South,23070,5468,55
2024-01-02,Omeprazole,South,40777,6417,44
2024-01-03,Metformin,South,21538,5892,262
2024-01-04,Omeprazole,East,15729,4452,399
2024-01-05,Omeprazole,East,39177,6705,91
2024-01-06,Amoxicillin,West,5784,1095,380
2024-01-07,Metformin,West,32751,6499,265
2024-01-08,Metformin,North,45864,1228,206
2024-01-09,Metformin,North,45328,1865,312
2024-01-10,Omeprazole,West,17533,4992,418
2024-01-11,Atorvastatin,East,45111,1198,459
2024-01-12,Metformin,South,44974,7686,19
2024-01-13,Omeprazole,West,10801,6820,321
2024-01-14,Amoxicillin,North,24190,6231,295
2024-01-15,Atorvastatin,East,43754,895,251
2024-01-16,Amoxicillin,West,34592,7088,260
2024-01-17,Atorvastatin,West,15647,7900,374
2024-01-18,Omeprazole,East,13716,4671,14
2024-01-19,Paracetamol,West,28355,4860,128
2024-01-20,Atorvastatin,East,27009,3002,298
2024-01-21,Amoxicillin,South,29376,2319,383
2024-01-22,Omeprazole,East,9780,1217,74
2024-01-23,Atorvastatin,East,7368,3282,155
2024-01-24,Paracetamol,East,17039,5446,233
2024-01-25,Paracetamol,West,11655,4077,248
2024-01-26,Metformin,West,45941,5986,186
2024-01-27,Metformin,East,9495,643,276
2024-01-28,Amoxicillin,West,15893,5480,350
2024-01-29,Atorvastatin,North,30547,3640,291
2024-01-30,Atorvastatin,North,27386,7766,72
2024-01-31,Metformin,West,18403,4991,226
2024-02-01,Atorvastatin,West,37097,7692,351
2024-02-02,Atorvastatin,East,18121,7591,324
2024-02-03,Paracetamol,South,15966,3438,292
2024-02-04,Metformin,West,38621,6088,186
2024-02-05,Omeprazole,North,33312,4136,470
2024-02-06,Metformin,East,27677,3722,426
2024-02-07,Omeprazole,West,36289,1667,107
2024-02-08,Paracetamol,North,36024,3116,114
2024-02-09,Amoxicillin,North,47675,1562,108
2024-02-10,Atorvastatin,South,9777,2656,394
2024-02-11,Paracetamol,East,34749,5661,414
2024-02-12,Atorvastatin,East,20338,5805,320
2024-02-13,Amoxicillin,South,7491,3482,15
2024-02-14,Amoxicillin,South,32236,7041,485
2024-02-15,Paracetamol,East,19599,3794,474
2024-02-16,Amoxicillin,East,24508,5229,206
2024-02-17,Omeprazole,West,8051,1656,360
2024-02-18,Amoxicillin,West,26606,7830,142
2024-02-19,Atorvastatin,South,26699,5834,367
2024-02-20,Atorvastatin,West,5876,1232,268
2024-02-21,Atorvastatin,North,37093,4830,446
2024-02-22,Atorvastatin,West,9142,7301,32
2024-02-23,Omeprazole,West,20202,5346,494
2024-02-24,Metformin,North,44734,7231,62
2024-02-25,Paracetamol,South,12079,7676,174
2024-02-26,Atorvastatin,North,12987,7741,211
2024-02-27,Amoxicillin,West,44567,1453,467
2024-02-28,Atorvastatin,South,33940,3039,92
2024-02-29,Amoxicillin,West,42233,7556,154
2024-03-01,Amoxicillin,North,22019,3824,94
2024-03-02,Atorvastatin,North,23077,3801,87
2024-03-03,Omeprazole,West,31258,2042,466
2024-03-04,Amoxicillin,East,26136,5793,375
2024-03-05,Amoxicillin,East,13311,6272,10
2024-03-06,Atorvastatin,North,22214,1691,60
2024-03-07,Amoxicillin,North,19098,6813,182
2024-03-08,Amoxicillin,East,33251,6012,214
2024-03-09,Atorvastatin,East,42945,3493,269
2024-03-10,Atorvastatin,West,30945,7438,455
2024-03-11,Paracetamol,West,30316,3181,458
2024-03-12,Omeprazole,East,37217,1717,378
2024-03-13,Omeprazole,West,13308,2040,497
2024-03-14,Amoxicillin,West,10949,6672,297
2024-03-15,Omeprazole,South,6150,3736,43
2024-03-16,Amoxicillin,West,28944,6041,357
2024-03-17,Paracetamol,North,39699,2886,104
2024-03-18,Atorvastatin,West,14204,4219,81
2024-03-19,Atorvastatin,West,6081,6115,48
2024-03-20,Atorvastatin,East,34305,1888,163
2024-03-21,Omeprazole,North,21896,2356,259
2024-03-22,Paracetamol,West,12805,1865,171
2024-03-23,Omeprazole,West,10237,999,447
2024-03-24,Omeprazole,South,25056,2180,127
2024-03-25,Paracetamol,West,8343,1010,268
2024-03-26,Paracetamol,West,18500,7994,388
2024-03-27,Paracetamol,South,34375,4812,315
2024-03-28,Paracetamol,East,14662,1824,277
2024-03-29,Atorvastatin,West,21964,1655,458
2024-03-30,Metformin,South,13130,2327,63
2024-03-31,Metformin,North,24531,3641,245
2024-04-01,Paracetamol,East,6679,7919,398
2024-04-02,Metformin,North,8506,3986,487
2024-04-03,Metformin,North,18284,2310,231
2024-04-04,Paracetamol,South,12253,7088,260
2024-04-05,Metformin,West,24128,3423,322
2024-04-06,Omeprazole,South,32932,5801,410
2024-04-07,Amoxicillin,South,14435,2714,121
2024-04-08,Amoxicillin,South,49078,4686,264
2024-04-09,Paracetamol,South,18296,1213,312
2024-04-10,Atorvastatin,East,35445,6477,416
2024-04-11,Paracetamol,West,18245,4102,216
2024-04-12,Atorvastatin,North,34124,4634,238
2024-04-13,Amoxicillin,North,34899,7793,350
2024-04-14,Paracetamol,West,48919,4022,407
2024-04-15,Omeprazole,North,48225,4768,75
2024-04-16,Metformin,West,40247,5248,84
2024-04-17,Atorvastatin,North,34222,5349,444
