Product,Warehouse,Stock_Units,Expiry_Days,Value_USD
Docetaxel,Tarapur,1882,394,312420
Propofol,Mumbai,5761,192,363295
Bortezomib,EU Hub,6867,77,193016
Anastrozole,US Hub,7963,540,365031
Carboplatin,Tarapur,8166,358,131442
Docetaxel,Mumbai,8929,145,99847
Propofol,EU Hub,6347,366,108653
Bortezomib,US Hub,8269,176,267144
Anastrozole,Tarapur,9125,352,303661
Carboplatin,Mumbai,3454,472,368766
Docetaxel,EU Hub,5494,42,339954
Propofol,US Hub,2946,523,127842
Bortezomib,Tarapur,3808,316,322647
Anastrozole,Mumbai,7642,143,134761
Carboplatin,EU Hub,4825,509,323734
Docetaxel,US Hub,4536,51,191958
Propofol,Tarapur,7068,378,378768
Bortezomib,Mumbai,4802,595,213864
Anastrozole,EU Hub,5699,349,306910
Carboplatin,US Hub,2970,155,170356
